Username,Title,Date,Comment,rating
eric dykstra,"Amazing performance, beautiful build",2024-09-22,"The new ASUS ROG STRIX G16 gaming laptop I tried out has exceeded my expectations in terms of quality and graphics capabilities. The sleek but robust metal construction of the laptop provide durability and luxury, making it a standout choice for gaming enthusiasts. The graphics performance of this laptop is exceptional from the graphics card and delivering stunning visuals and smooth gameplay that enhance the overall gaming experience, much better from a laptop than i expected. The high-resolution display and advanced graphics technology bring games to life with vibrant colors and sharp detail. Overall, the ASUS G16 has exceeded my expectations, keeping cool under heavy loads, running games well, and a bulletproof build.",5
Mike L,Excellent Deal! Great Gaming Laptop!,2023-12-09,I wanted to buy another laptop for work purposes but also be useful for travelling and for gaming so I saw this laptop for sale during Black Friday! Excellent purchase! Here is my pros and cons after a week of owning this:,5
Anthony,Decent Gaming laptop 2024,2024-10-15,"I was kind of skeptical about this laptop and the software it has. I had ordered a different gaming laptop previous to this one. The other laptop had really bad software issues and I had to return it because out of no where the screen turned black and returned it. I thought that if I ordered this different one and thought it might of have the same software issues and didn't want a deal with that. Anyhow I saw that this Asus Rog Strix G16 2024 model was on sale for Prime Day and bought it for $1,100. I'm glad that I bought it during this Prime Day sale because at this price you get a mid range gaming laptop with a good processor and a Nvidia Geforce Rtx 4060 graphics card. This laptop comes with a 16gb DDR5 4800mhz memory ram card, I wanted to upgrade it so I bought a 64gb DDR5 which is the maximum. The manufacture listed the maximum memory ram at 32gb, but that's not true, I did research and Crucial has tested the 64gb ram and it is compatible with this laptop model. Now I'm a wait for Black Friday and buy a 4tb Crucial PCie ssd drive, and with that I'll be set. The laptop is already fast and it's pretty descent but I want to upgrade it, I highly recommend it.",5
Yunjue,ASUS is always a good choice,2024-08-29,"I am satisfied with the overall performance of this laptop, but there are some issues to note.",4
Jorge Lopez,Best laptop price/specs,2023-12-28,"The specs are really good for this laptop. I love how you can even play with 100 FPS or even more in some games (Halo infinite, Apex Legends, The Finals) with the silent mode (without overheating or having the max power of the CPU/GPU). If you want to get over 100+, the turbo mode (taking full advantage of the GPU/CPU) will be great + the 165.1 Hz. The only ""issue"" (not issue honestly if you do not see this as problem) is the turbo mode makes the laptop sounds a bit loudly which is normally when you are utilizing it with the full capacity. Other than that, you can have an amazing experience playing on this mode.",5
Jeremy Chicaiza,MURIÓ COMPLETAMENTE A LOS 3 DÍAS DE QUE LLEGÓ,2024-08-26,"La compré hace unas dos semanas y 3 días después ya no funcionaba, murió completamente. La verdad no sé que problema surgió. Todo empezó cuando estaba jugando y de la nada se reinicio la Laptop, cuándo la encendí no reconocía la tarjeta gráfica de NVIDIA, la volví a reiniciar y murió completamente, no eran por las temperaturas ni nada de eso, siempre que juego checo la temperatura y demás cosas del procesador, etc; asimismo pensé que sería algo de dónde estaba conectado el cargador, pero también lo destaque, ya que estaba conectada un regulador de voltaje, en el cual ya había tenido conectada una pc gamer con altas especificaciones anteriormente 🤔 Todo estaba yendo normal y sucedió lo peor 😔. Dejó de encender, no reconocía el cargador ni nada. Pienso que tuve muy mala suerte con el modelo que me llegó.",1
Jesse R.,Great machine.,2024-08-29,The ROG hub is so useful for gamers. And can be placed out of the way entirely when its work time. My daughter is elated. Holds up to hours of play with plenty of cooling. Perfect color and battery life.,5
Nine Douglas,Very powerful for the price,2024-10-04,"So far I haven’t had any issues with the PC. It’s very powerful for the price you’re getting. runs all of my AAA titles on ultra on an average of 90 fps. The fan really doesn’t bother me but you will hear it when you have it on turbo mode. Very smooth. The speakers are OK, very average i can say. The size is perfect not to big not to small. To be honest it’s seems pretty thin in my eyes. I would recommend this for new owners that want to play on PC.",5
Kevin Kiggs,Amazing machine,2024-08-04,"It's a big and beautiful laptop that slurps up all games like jam while staying very quiet by laptop standards. Expect high framerates and few frame dips thanks to high CPU limits, but with a few caveats.",4
Tyrone Walters,"Overall very happy, but not perfect.",2024-08-29,"Overall performance wise and everything I have had no problems. It runs well for gaming, hitting max settings for Baldurs Gate 3 and Elden Ring. I only experience small stutters in Elden ring. My main cons are that the battery life is extremely short. Luckily I usually have it plugged in so it's not a problem, but if you plan to use it off charger you might want to look elsewhere. Also all of the USB ports are on the right side, so if you're right handed using a wired mouse it makes it a bit clunky and crowded with the wiring right there. But those are minor issues for me and I am happy with the purchase.",4
TrudyL Gaudin,This isnt a 2024 model.,2024-09-15,"I hate the bloat that comes on new phones, new cars and especially new computers. So the first thing i did was a fresh install of wndows. The product page says this is a 2024 model but the model and serial number are all 2023 according to ASUS. And those are the drivers that are working for me now. other than being mislabeled as newer than it actually is im happy with the laptop.",4
Dariel,Muy buena elección,2024-10-10,"Le doy 4 pues la batería no dura tanto cómo pensé , para el precio debería durar más pero una compra muy sensata",4
Mejigames,Es un portátil potente i7-13650HX 13th,2024-02-01,"i7-13650HX 13th, llego con algunas fallas .",4
Aaron perez,fast and ready,2024-09-30,Got my laptop fast in a good shipping box was very protected and works just right out of the box laptop is fast and ready to go for those wanting to know if you can run games the answer is yes I run call of duty and BodyCam with no frame drop what so ever 10/10,5
Rose,Does well even 1 month later!(lol),2024-09-30,This is my first gaming pc/laptop.,5
Julia Wilson,Great!,2024-10-18,It works well for gaming! It does jumpscare you when it turns on though,5
Nina Simone,The (2024) year ad is a false advertisement.,2024-09-09,"The laptop works like a dream. It's snappy, runs well, and runs games well (unless you like 4k high on the most recent releases). It's MOSTLY as advertised, but it's the 2023 model of the Strix G16 and not the 2024 version.",4
Geovanny Limaico,Me encanta,2024-10-15,Es muy bonita creo que fue mi mejor comprá espero seguirla probando hasta ahora muy satisfecho,5
JAYP1907,Perfecta para la universidad :D,2023-12-19,Comprado para black friday por 1100 dolares sin duda alguna es una oferta que tenia que aprovechar esta maquina fue elegida entre las opciones de una acer nitro 16 y un msi creator con casi las mismas caracteristicas.,4
Bridgette R.,Memory,2024-09-24,Games and school very good,4
Jesus De La Cruz,Es buena lap calidad precio,2024-09-23,Aguanta juegos muy pesados,4
Apolonio sanchez,Charge it and check the specifications right away!,2024-08-26,"The computer I bought it's amazing, performance is beyond my expectations...but I ordered and paid for the 1tb and I received a 512 or something like that... not the one for what I paid ,other than that it's a beast!!!",4
Michele Schmidt,Works great,2024-10-09,My son is a serious gamer and is happy with this laptop.,5
