Username,Title,Date,Comment,rating
Roddy R Rosario,REVIEW WITH THE MOST IMPORTANT INFO OF THIS XBOX CONTROLLER!!,2024-07-21,"Good packaging, it wrinkled a little because I used Amazon prime with free shipping.",5
Riva Iron Grip,Works great on PCs just like it's predecessors!,2024-10-10,The “core” controller is the latest iteration of the xbox controller and from a quick glance it can be difficult to spot a difference from the xbox one controller but there are some subtle ones.,5
B. Billy,"No Issues, Works Great",2024-09-16,"Had to replace my Red Xbox controller because its drifting now (I know I can replace the little joystick, and thats coming soon). I got this because the price was right, cheaper than picking up at the store. Works great, it's not a knock off, it came in genuine MS Xbox packaging, and connected to my Xbox Series 1 with no issues, and I have been using it for about a month now.",5
Austin,Much Nicer than the Older Xbox One Controllers,2024-10-14,"I decided to finally replace my old Xbox One controller that I've had since 2017. I've replaced so many parts in that controller over the years, when the triggers started sticking (due to the foam bumper pad behind the triggers having worn out) I decided to just buy a new, updated controller.",5
Greg Stone,A Top-Notch Controller with a Stunning Design,2024-08-24,"The Xbox Wireless Controller in Electric Volt is simply outstanding! The vibrant color is a real eye-catcher, and the build quality is top-notch. The new hybrid D-pad feels incredibly responsive and precise, making it perfect for all types of games.",5
Wriddler,"Works and is as advertised, but slightly confused.",2024-10-04,"I didn't take pictures, because I didnt think much of it at first but I am a little confused. While everything works perfectly fine and has no issues, there were some confusing and random things for it being a new product. When i opened it, it looked like the box had been opened, repackaged (poorly) and than retaped back up. There was also some damage to the box. When i opened the box, the packaging looked like it was either out of order or reboxed improperly. The cabling wasn't coiled or anything it was randomly stuffed in the box, there was one random scratch on the controller (not very noticeable) and it was covered in dust and hair. That was the most confusing part of it being new, covered in dust and hair.",4
R34P3RX13,It's legit,2024-07-12,"Having been an Xbox owner for 20 years (xbox original, 360, 360 elite, xbox one halo edition and xbox series x) I have always loved the xbox controller, especially the original big boy that shipped with the 2002 xbox systems. It just fits my hands perfectly and over the years they just seem to get better.",5
3N☆°,Yummy blueberry rose vapor,2024-07-04,"This wireless Xbox x|s controller revolutionized my daily gaming experience. I can now enjoy my favorite mobile and PC games wirelessly and without cramping my hands on the touch screen or keyboard. I can now play with comfort, ease and full control. No more looking for buttons or keys to execute commands. It's what I missed most about console and handheld gaming.",5
Tommy,Great Bluetooth Controller,2024-10-18,"So I thought that the entire controller would be the color that you pick. Well no just the face of the controller is, the back is white. No big deal, I should’ve looked at ALL the pictures. Purchased this because my other controller generic brand RiotPWR Left Stick started acting up after 3 weeks!!!!",5
parker,Thumb Grips for Xbox Controller: 1-Star Review,2024-09-18,Xbox Controller: 5-Star Review,5
Crewtonn,BEST FEELING CONTROLLER,2024-09-26,"This is so awesome! One of the best controllers I have used, usually when you get a clear controller the plastic is not as protective can feel cheap but this feels great. the grip on the back of the controller makes it feel premium! The color and style of the control is sleek, you can still see the controller rumble from inside but it doesn't make it feel like a little Kids controller. I suggest this controller to anyone, it has good weight to it like an xbox controller usually does. The price is great for the product, if you want to go on and make your own controller on Xbox Lab do it but you won't get this color way unless you do a elite controller for double the price! Great job xbox and amazon for getting it to me in 2 days and making me excited to play my ROG ally with a controller again!",5
