Username,Title,Date,Comment,rating
P-Town Cracker,Pricey and awesome mechanical keyboard,2020-03-08,"When a rogue Win 10 update took out my Gskill KM780 RGB unexpectedly, I had to pull the trigger fast on a new KB instead of having to endure using my spare membrane board. After a solid day of research, I took a chance on the Apex Pro.",5
Bill_Ben,Very impressive high quality product,2024-10-17,The Steelseries Apex Pro is a superb keyboard. (Apology for the superlative!). It has been my favorite for the 10 days during which I tried seven other brands of keyboards.,5
SM Family Reviews,Wonderful Keyboard. I got a Steal,2024-07-07,"Damaged Box But understandable since I got a refurbished Option For like 70$ Less. It was “Like new” if you're asking. It is such an exceptional gaming keyboard! The SteelSeries Apex Pro Mini Wireless is a game-changer with its compact 60% form factor. The adjustable actuation feature allows for a personalized typing experience, and the HyperMagnetic switches provide a responsive and tactile feel. Not that heavy and not that light. Battery was on 5% on arrival but all good, I just charged it and upgraded the firmware on the app. The RGB lighting is vibrant and customizable, adding a great aesthetic touch. The PBT keycaps are durable and feel premium. Connectivity options are fantastic with Bluetooth, 2.4GHz wireless, and USB-C. This keyboard is perfect for both gaming and everyday use. Highly recommend for those looking for a high-performance, compact keyboard! Ease of Use Is Good",5
Matt F.,Nice mechanical keyboard.,2024-08-26,"Bought one to replace an aging Corsair K-70 Mk.2 RGB. Comparing the two, the Steelseries has easier to use software (less buggy or resource heavy) and the color range and intensity of the LEDs is greater than on the Corsair. The Corsair software seems to allow you to do a bit more with regards to effects, but I am still learning the ins and outs of the SS app. The cons to this keyboard is the LCD menu has various options (like brightness) buried several levels deep and I miss having a dedicated brightness key that I could just tap. Also, for some odd reason the Enter, Tab and Caps Lock keys are not labeled but rather just use symbols. A very small nit to pic but I would have preferred these were still labeled as on other keyboards. I really like the wrist guard with its slightly pliable rubber coating. the keys are sufficiently clicky without being too loud. As for the adjustable sensitivity setting, seems a bit overhyped. I just left everything at the default and seems to work ok but then I am not trying any competition gaming so YMMV. One last comment is with the scroll wheel. It can be clicked or scrolled but I have found that if you try and rotate it away from the edge, it can seem to *stick* a bit. You have to scroll it from just the top edge and then it scrolls more or less freely, but never as smoothly as the one on the Corsair keyboards.",5
Jeff,"Among the best keyboards I've used, BUT... (updated review)",2020-07-10,"UPDATE: I still really like this keyboard, but I was starting to notice that I actually type really inaccurately on it - it does get annoying. I just make a lot of mistakes, and I've been typing for 40 years and normally type about 100wpm. I was trying to figure out why this is, and lately I've had my old IBM Model M in the room hooked up to another computer and have felt the obvious difference in accuracy. (The Model M is where the modern keyboard layout comes from.) I still just type much better on the Model M. So I directly compared the two keyboards to figure out what the difference is.",4
African John,One of the greatest keyboards of all time.,2024-08-22,"This keyboard is insanely nice and high quality, the brightness of the RGB is really bright and the durability is really good. The size of the mini makes it so that it can fit on my desk giving space to my mouse. The only reason that I'm returning this mouse was because the switches just weren't the right ones for me and I decided I would replace the apex pro mini with the Asus rog azoth 75% with the red switches.",5
Marcus Hynek,Get keyboard,2024-10-01,"This is my first somewhat mechanical keyboard, as well as magnetic switch keyboard board and it’s the best keyboard I’ve ever used. I’ve played around with some of the settings briefly just to set it up for a very responsive typing experience I’m very impressed with the key feel, response and noise on the mag switches and same goes for the cherry Mx reds in the rest of the keyboard. You can set it to as little as a wiggle of the keys triggers a press. I set it for 4mm for standard typing",5
Donald Fletcher,Not worth the price. Feature coverage is limited and the device is held back by poor design.,2024-04-07,This keyboard isn't worth a third the price you pay for it. I'd have given this an extra star if I hadn't paid a premium for it; the cost in conjunction with how it just barely checks the boxes on its basic feature descriptions drops my rating to rock bottom.,1
Chuck,Love the keyboard but not the wrist result nor that all keys are NOT adjustable…,2024-08-18,"So far the keyboard has been everything I have wanted… almost. Great feel to typing, adjustable actuation(although NOT on all keys). The keycaps have a great feel to them and the lighting is excellent.",4
Michael Dahmane,A great keyboard for those who don't game.,2024-10-14,"Short and sweet: I write for a living. Unlike other keyboards, this one lacks latency issues. The accuracy of my typing has skyrocketed. Moreover, as someone with arthritis in his hands, the wrist rest is amazing. Because it's magnetized I don't have to worry about it slipping around. My hand pain has plummeted since I used this for office work. And while there are other keyboards that advertise themselves as ergonomic, this one actually reduces my hand pain. Is this pricy? Yes. Do I think it's weird that I use a gaming keyboard for office work? Yeah, in a good way. Would I recommend it to my friends who don't game and have hand issues? I already have. The other features of the keyboard are nice for gaming, but that's not really my bag anymore. And given that I bang away on this thing for 8-14 hours a day for work, I can attest to the fact that it is durable. You'll save money on it in the long run if you buy this and don't run through other keyboards. One of the best purchases I ever made.",5
David Elías Cuello Mora,De lo mejor en teclados,2024-08-19,"El SteelSeries APEX Pro es, sin duda, uno de los teclados mecánicos más impresionantes en el mercado actual. Desde el primer momento, destaca por su construcción robusta y diseño elegante, con un marco de aluminio de calidad aeronáutica que asegura durabilidad y un toque de sofisticación.",5
Khora,Better choice than Wooting,2024-10-09,I purchased a Wooting keyboard and this SteelSeries.,5
Nathan123,It’s really only good for really competitive games,2024-10-07,"As a keyboard itself, it’s okay. The typing experience isn’t the best either rapid trigger enabled unless you have really good control. The actuation point is noticeable but not that impactful. The only people who this is really good for is like top tier pros in games, but not just the average person trying. Although I will say the keys sound amazing.",4
C. Sinclair,Apex Pro Mini - highly recommended but make sure you get the right width for your needs,2024-09-05,"It's a nice keyboard. I love the way typing feels and sounds but I'm returning it because it's very narrow and I don't like it. I use the keyboard on my lap and this one just doesn't sit right because it's so narrow. I like it otherwise those so I ordered the same keyboard but in the wider variant. I got the Apex Pro TKL which has the arrow keys, page up/down, home, end, delete and insert. That makes it just wide enough for me. And I love the feature where you can adjust how far you have to push the keys in. This keyboard along with the other Apex Pro keyboards have awesome features. Highly recommended!!",4
Carl Peters,Great daily gaming keyboard,2024-10-17,"Great overall little keyboard. Little to no latency. Steelseries software not invasive. Connects via a fake USB-C ;) (USB-A to USB-C essentially throttles all USB-C functionality). Great 60% sized keyboard, especially if you can get it on sale. Switches on keyboard sound great.",5
avid reader,Unhappy with no outer shipping box on product,2024-09-26,While the product is good and does what it needs to do it was shipped to me with no outer shipping box around it. It wasn't marked as a gift and not concerned from that standpoint but left on porch this expensive item clearly picturing exactly what it is could have easily been a target for theft. I lucked out but if this is standard shipping practice others may not be as lucky.,4
t_la_la,My Nephew Loved It,2024-10-11,"This was a gift for my nephew's 14th birthday. He loves it, so I would guess it's working perfectly. He tried to explain how much better the ""touchpoints"" are for his gaming, but I have no idea what any of it means. He's happy, I'm happy :).",5
lydia hill,Really fast,2024-10-11,It’s kinda expensive but it’s a really fast keyboard I would Recommend for people who play Fortnite Or any movement game it has 0.1 accusation the brightness is good the clicks sound amazing the durability is Good the weight is kinda light the size is good,5
Steve W.,My son's favorite,2024-10-16,"My son has went through more than his fair share of keyboards, always thinking there was something better. He has finally settled on this one and is very happy. Customizable screen on keyboard.",5
N,Its ok,2024-10-15,"Build quality is not great, doesn’t sound that good, keys feel pretty wobbly, slight texture to keycaps, crap software but the switches are cool",4
Eowyn,Fortnite players read this!!!,2024-10-03,I love this it is soooo fast. I love the feel and for all of you fortnite players it is super fast. Editing and doing 90s feel soo nice got so new keycaps on it but I LOVE THIS,5
Isabel Page,amazing keyboard 😍,2024-09-14,"i’ve owned a few keyboards from Logitech to Razer and this far exceeds any keyboard I have ever used. The switches are so incredibly smooth and fast, I absolutely love it. I got it on sale too for $113 which it is right now so if you are considering it THIS IS UR SIGN BUY IT !!",4
K O,One of the top 3 mech boards,2023-03-16,"If you are like me and looking at this board, you may be getting frustrated at how hard it is to find that nearly perfect board that should exist, when you're willing to drop over $230.",4
GreatGooglyMoogly,Really just a perfect keyboard,2024-09-13,"Honestly have no complaints. When pressing a key it feels like silky smooth butter, the rgb is really cool, size is pretty big and nice with a solid base and good durability. As expected of an absolute unit of a keyboard for the price it is. It is pretty heavy for keyboard standards though, so beware of that if you need a lighter keyboard.",5
Terrorgod,"Great gaming keyboard, not my style for typing",2022-04-10,"The steelseries apex pro mechanical gaming keyboard is a keyboard I really wanted to love. I have been looking forward to being able to have the best of both worlds with fast linear switches when I'm gaming and need every advantage I can get, and going back to a high quality typing experience when I am living the professional life. Maybe this keyboard will be that for some people, as the switches themselves are subject to the users preference. However I can share my experience and preferences to hopefully guide whether or not this keyboard is good for you.",3
Lex,Would not recommend / Warranty,2024-05-07,EDIT:,4
Austin,I love it,2024-10-12,It’s good,5
Lourdes Miranda,Very good,2024-09-27,It was a gift for my nephew and he loves it,5
Justyn Aleksiewicz,In love with this keyboard,2024-07-17,I love this keyboard.,5
K,I Do Like It,2024-01-31,"Well firstly I'm gonna tell anyone reading this to get it in the Amazon box cause I had to order it twice since the driver stole the first one, which was probably my own fault for trying to save packaging since it gives you the option to not have the extra box since it ships in a box. Amazon did refund though since it was never delivered.",4
PR,Excellent,2024-09-29,Excellent,5
