Username,Title,Date,Comment,rating
Trinity,"Make the Switch, Apple to Android.",2024-08-01,"Coming from being an apple user and making the switch to android, this watch thus far is superior in almost every way in comparison. From the screen pixelation to sound quality to vibration intensity to superior app integrated. The samsung watch offers a variety of superior features which I think is definitely enticing enough for the switch. Coming from the apple watch it had the basics, the message replies, calls, apple pay, a few mediation and breathing apps, remote phone camera click and an ECG app that never worked. With the Samsung Galaxy watch 6 you're definitely getting better value per buck, you can use Google maps, a semi small but functional google web browser, a watch that measures your stress, gives you a decent review of how you slept from body temperature, heart rate and the cycles of sleep from rem to awake, a customizable watch face, Gmail, YouTube music, various work out apps, fitness and calorie tracking apps, games, a variety of music listening apps, etc. The only necessary cons I would mention about this watch is the voice to text feature isn't quite as consistent or picks up words correctly and the battery life is definitely a little short then my previous apple watch and the band that it comes with for us petite people is horrendous; I had it on the smallest hook and it was still about 3 inches above my wrist and would slide down, thankfully I bought a replacement band that is much better, however I would say for the value, quality and features this the watch to go.",5
SuzyQuzy,I love this watch!,2024-10-16,"I was a Fitbit girl for many years. I didn't like that I only got a year out of each one, the changes in the app, having to pay for the app and I wanted more out of a watch. The size is perfect. I didn't want a bulky one and I was afraid of the bezel one being too big. I use it more for monitoring my steps and activity level then I do as a smartwatch. I like that I can read texts though. I've only had it a few weeks and I love it. I wish the battery was longer and I didn't have to charge it every day. I just have to start remembering to do it when I sit here with my coffee. I love the different watch faces and the custom features. I bought extra watch bands and face covers to protect it. I'm having fun with it I think it was worth the money. Would recommend.",5
Ryn,Best Smart Watch I've had Thus Far,2024-09-21,Got it used and it's in great condition.,5
A. Bombac,"Pretty sweet smartwatch, with caveats",2024-08-18,"I've got a handful of pointers regarding this watch that you might heed before buying it. That being said, I love the thing as of a few months owning it.",4
Pandalox,AMAZING WATCH,2024-10-06,"The Samsung Galaxy Watch6 44mm is a remarkable blend of style, functionality, and advanced technology. Right out of the box, the sleek design catches the eye, with a larger, vibrant display that enhances visibility and user interaction. The watch feels premium on the wrist, thanks to its lightweight yet durable build.",5
jennifer chilton,Great product,2024-10-15,"The watch is nice, it's a great size and has many functions. Easy to work and figure out.",5
Suzette S.,I love this watch EXCEPT for one thing,2024-10-25,"I had a Samsung watch many years ago and I didn't like it at all. The battery life was so bad that it wouldn't make it to 5:00pm without a charge. After that I switched to a fitbit. I had that for many years and it was fine. The face was just scratched up and it was time to replace it. I did a lot of research before choosing this watch. I was a little concerned that as a woman, the 44mm might be too large. That has not been the case. I'm happy I opted for the larger face to get the additional battery life. I can go about 2 days without charging it. However, the charging is the one thing that I do not like about this watch. It charges really slow. I sleep with the watch on and as soon as I get up, I put it on the charger. It typically sits on the charger for about an hour while I'm getting ready for work. It only charges about 40% in that time. I have resorted to getting a charger just for my car so that I can charge it an extra 15 minutes on my commute to work. Other than that, I think I love absolutely everything about it. I am loving the contactless payment. I have having a passcode on my phone, so I never use contactless payments with my phone. The band that came with it is a bit long. I have it on the very last hole. I did purchase a thin adhesive protector for the face, so I can't attest to how easy it is to scratch. Besides the SLOW charging, I absolutely love this watch. And an added bonus that I wasn't aware of when I purchased it is that it will sync with my oculus when I do Supernatural workouts. I don't hesitate to recommend this watch.",5
tracey somsouk,Samsung Watch 6 - Stylish and Functional,2024-09-29,"I recently upgraded to the Samsung Watch 6, finally replacing my old Samsung Gear, and I couldn’t be happier! The design is sleek, modern, and fits perfectly on my wrist. It’s a huge improvement in both style and comfort, making it a great accessory that I can wear all day.",5
dt2008,Software keeps beautiful hardware down,2023-08-24,"I have used two fitness trackers in the past: the Fitbit Charge 2 and the Fitbit Versa 2. I will compare the Samsung Galaxy Watch 6 to the Fitbit Versa 2, since it's the only other smartwatch I have used. I tried the watch with two different Samsung Galaxy smartphones: the S22 Ultra and the Z Flip 5.",3
debhibb,Minus 1 star for poor battery life,2024-10-27,"Despite turning the brightness down, and a few other tweaks, I still have to charge this watch EVERY day. If I don't, it will not last through the following day - in particular if you decide to use the GPS function for a hike or run. I'm sure many people simply charge their watch at night, but it's important to me to have a watch that tracks my sleeping patterns, so that's not an option. It takes about an hour to charge in full, so that means it sits on the charger during the day... every day.",4
