Username,Title,Date,Comment,rating
Duane,Fantastic Monitor,2024-07-14,Play Video,5
Zach,Great ultrawide monitor if you can get it under $400,2024-07-15,"Overall I'm a lot happier with this than an old 4k tv from walmart. Only complaints I have were the lackluster HDR, which I expected only being HDR10, and the color, which was a super easy fix. I just changed was color, I changed it to Cool 2 and set blue to 70 and it looks perfect now. No dead pixels or cracks to speak of, just some scratches on the frame from being a clutz installing it.",5
Asten,"Great quality product, but be careful with the curvature amount on non-ultrawide",2024-09-11,"Definitely just not for me, returned it, this was my first time trying out a curved monitor. If you're used to a 32"" flat screen I would probably recommend staying away from 1000R curvature, the problem is 1000R is a VERY tight circle (1000mm Radius), and this is a normal ratio screen, 16:9, which means the curve is just way too strong for such a small screen, especially for a first-timer like myself. A 45"" 32:9 ultrawide monitor handles a curve much better in my experience. And definitely don't get a curved monitor if you have OTHER monitors that are not curved, it creates a weird imbalance looking back and forth between them, and I would imagine all of the 'eye relief' from the curved monitor would be lost by adjusting back and forth. Also on the 32:9 even a 1500R is much better and more subtle. 1000R is just a really strong curve and keep that in mind if you're thinking about trying this screen out. I would probably recommend a 32"" 1500R first to ease into it. Other than the curvature, the monitor is awesome, great definition, 2K res is beautiful, the colors and sharpness is all perfect (though you can adjust it anyway ofc), the refresh is very smooth, and the stand is too tall like most monitors.",5
Rafael Ramirez,"Great monitor, bad calibration",2024-09-02,"I bought this monitor after looking trough a lot of research and comparations, in the end i decided for this one due to its price and spec, almost a blind buy since i couldn't find any other reviews outside the amazon website, but i have to say im very happy with it.",4
Angel Lambertt,A product to boost your productivity as a software developer,2024-08-30,"As a software developer, I’m always looking for tools that boost my productivity, and the Samsung 27-Inch Odyssey G55C Curved Monitor has been a game-changer. The 1000R curvature helps me stay focused and reduces eye strain during long coding sessions. The QHD resolution provides sharp, clear text and plenty of screen real estate for multitasking with multiple windows. The 165Hz refresh rate and 1ms response time ensure smooth scrolling and responsiveness, which is great for working with complex applications. HDR10 support makes colors more vibrant, which is useful for reviewing design elements and debugging graphical issues. Overall, this monitor has significantly enhanced my workflow and comfort. Highly recommended for developers looking to upgrade their setup.",5
Jackson,Best. Monitor. Ever.,2024-08-16,I personally am a casual player and don’t need an extremely large monitor to do that. But this monitor is a must have. It has a perfect curve and is built with tech that makes it as good as a TV. I not only outshines all my other monitors with its tech but also with its graphics! The graphics make my gameplay 100% better and it is truly great. The monitor turns on instantly. It is sooo easy to connect to my console or pc. This monitor works great with my console and my pc and can switch between them with a click of a button. This is truly my monitor for the next 5 years and I highly recommend it.,5
RadiantBuyer,Solid upgrade,2024-09-19,"I ran 4K 60hz monitors for my at home business. Also gaming on same setup, the graphics and frame dropping was garbo. So I ditched 4 monitors for 1 monitor and just split screen it. Beautiful gaming experience now. Great refresh rate. And to think, I used to be tech savy. Falling so far behind, I feel freaking old. Still remember working on dual CRTs. Glad to catch up a little",5
Greysil Mutterbottom,"Image isn't bad, cost cutting is",2024-05-31,"The image quality itself is really good for a VA panel (black smearing still exists, obviously), but the cost cutting shows, and there are a few odd quirks of the monitor.",3
Brian,3070 DP Triple Monitor Setup,2024-10-18,I almost did not buy these there were so many mixed reviews. I spent days searching reviews. My hopes are the buyers with flickering screens had a bad cable or maybe a faulty graphics card port. Just a guess. I can’t explain anyone else's experience. So far so good for me. I bought three 32”. Pre-mounted setup as I am still waiting for the triple arm mount. I have a fourth Samsung G5 32” thats supposed to be higher quality with LED 3000:1 contrast ratio and they all look the same though that one is not in this picture. Hope you jumped on $200 each for prime day. ^^,5
OUCAST,It's okay,2024-10-07,It a good looking monitor on some games but on others I can see some sort of blur to the picture . No 120hz if your on ps5 it doesn't support hdmi 2.1 only 2.0 it but quick delivery only took one day . The stand also doesn't really move or tilt . I will move on to another monitor as soon as I can still a great monitor though I'm just nitpicking on thing I'm catching,4
Joel,Recibido en Argentina sin problemas!,2024-10-14,Pedí el Monitor con dudas de si iba a llegar y lo recibí antes de lo esperado!,4
Erick,Exceeded my expectations a bit,2024-10-17,"I'm a neewbie joining the pc gaming world. And i must say for what its worth, this is like the perfect size for multitasking and to game. Crisp quality video, and the overal set ip to get up and running was simple too.",5
BrewBabe,"Make sure its compatible with your system, investigate G-sync vs Free Sync",2024-07-10,"Great Monitor when you read the specs, however, my laptop that I am using is a Acer Predator Helios 16 which uses NVidia G Synch. The Samsung uses AMDs Free Sync technology. The two do not play well together. While the monitor has a 165 hz refresh rate, the best you'll get when its plugged into the Acer Predator NVidia Graphics card is 99hz. By the time I figured it out it was past the refund date. I don't necessarily blame the seller, its just something I wasn't knowledgeable enough to be aware of. With an AMD system it would work great without a doubt. I'll most likely buy another monitor that is compatible with the NVIDIA graphics card, and resell this one on marketplace.",4
Makaira Fumiko,Impressive fr,2024-10-08,"Even when it's a 2k monitor, I was able to play it in 4k on ps5.",5
Lulu,Video,2024-10-10,Been using them for over a month and I’d have to say they look great color and resolution is nice and the settings are easy to use with the button on the bottom.,5
Carlos G.,✨Reseña desde Colombia✨☕ Un monitor caaasi perfecto.,2024-04-27,"Tengo presente cierta dificultad para realizar esta reseña, pero la encuentro necesaria.",4
Robert Henderson,bought an open box item very happy with purchase,2024-09-06,"Bought open box item, not a single scratch or defect on it and got it about 50 dollars cheaper i guess i just got lucky. One thing its an IPS monitor and the blacks are a little more grey but doesnt bother me. This is a more all around monitor for graphic design along with any gaming you want to do and its responding great. I made sure to go with Samsung because i dont want to buy chinese products no matter how cheap or easy to get and samsung has a great track record of quality.",5
Aces&8s,Works great but….,2024-09-14,"…the screen can be damaged very easily. I ruined one already. It was totally MY fault but, be very careful moving this monitor.",4
Jeremy S.,"Original arrived visibly broken; Ordered replacement - Good quality, screen flicker",2024-06-29,Product arrived with severe visible damage to the screen. Box it was shipped in didn't appear to have any damage. Refund requested.,4
TheTrampingPony,Needs a DP for 165Hz,2024-09-15,"Very nice screen, but if you want 165Hz refresh rate, you'll need a Display Port cable.",4
