Username,Title,Date,Comment,rating
Mel,Easy to use & Easy to setup,2024-02-19,***There Was No Compensation For This Review****,5
Mark,Good pc for the price surprised not going to lie,2024-08-21,Ordered this PC from a store called MXC tech because it was on sale it turned out that place was a scam (MAKE SURE TO ORDER IF IT IS SHIPPED AND SOLD BY AMAZON.COM),5
Tayllor Burkhart,WOW!,2024-09-10,"I am so impressed by this PC. It is my first pre-built gaming PC so I was pretty nervous about purchasing one from Amazon. I made sure the seller was through Amazon specifically, because any other seller than Amazon or Skytech themselves is a SCAM. Be cautious and always check the seller. My computer came with a mouse and keyboard, which I find to be decent quality. The keyboard doesn't have those loud clicky keys, instead they are fairly soft. The mouse I am unsure about, as I haven't used it. It seems cheap and other reviews have stated it broke or turned off after a bit. So far, the keyboard has taken a decent beating playing certain games and has held up pretty well.",5
HSTYCBT,"Amazing Starter PC, weaker wifi and bluetooth, good for valorant",2024-05-26,"Pro: Very strong starter gaming PC, good gaming experience in general",5
James,Solid Prebuilt with Room to Upgrade Later (Parts Listed in Review),2023-11-12,"So, this prebuilt comes with",5
Micah Cowan,Ridiculously good value,2023-12-27,"(I got the model with a 4060 in it.) I mean, what is there to say? A 4060, a 1TB SSD, 16G RAM and a decent CPU? For under $900?! I didn't really have money for a gaming PC, but when I saw this deal I had to make it work, because who doesn't want to save like $1k!",5
Allison M.,"Nice computer, amazing tech support",2024-06-16,"The computer ran amazingly but for some reason, the one I got had a messed up fan speed control. I talked to tech support and they actually knew what they were doing. He found the problem and I was able to send my pc back and get a new one within a week of first buying it",4
Shayne Davis,Great starter PC,2024-09-17,"Out the gate I ordered additional RAM, I am adding more hard drives to it now as I use it primarily for photography which takes up a lot of space. It runs great, boots super fast, looks great and even when running serious programs and pushing it near its limits, it still stays cool. The fans are super efficient and comes with a program that makes it to where I can speed up/boost the fans as needed as well.",5
Just Theo,Love it!,2024-04-03,"I definitely recommend this desktop. It arrived sooner than it was supposed to. It is very quiet. Seriously I thought it was dead on arrival because it was so quiet I was convinced it was not powering on. I could see the lights and the fans were moving, but couldn’t hear that hard drive sound, and fans were quieter than a cotton ball dropping on the ground. I have a brand new monitor and it was saying no signal. I had plugged the monitor into the wrong HDMI port. Once I figured that out, I could see that the computer was working lol.",5
Trevor,Happy with my purchase!,2024-09-11,"I've had my PC for over 2 months now and haven't had any issues. Everything came packed well, the case it came in is nice enough and I don't plan on upgrading it anytime soon. The PC did come with a questionable PSU, a Gamdias brand PSU which isn't a reputable brand, but from what I found online the PSU will perform fine and I'd imagine you'll be okay with leaving it in there for a good long while until you can upgrade it. I do recommend upgrading the PSU eventually, only of course if your PC comes with a PSU from a non reputable brand. I'd imagine they just grab whatever PSU they have that matches the promised specs so brands likely aren't going to be uniform. That is the only part so far I've upgraded as all the other components were from good brands. Everything has performed well and overall I'm very pleased with my purchase. It even came with a mouse and keyboard which certainly are cheap products but they are perfectly fine if you can't immediately buy a better quality keyboard and mouse. I'd definitely recommend this company for pre-builts as, from my experience and what I've read online, they do a pretty good job and their quality control is solid.",5
ThomasFMC,Awesome value - kid loves it.,2024-09-07,"This is a terrific deal -- powerful configuration with lots of room for DIY upgrades if needed. Came well packed with a high end gaming video card, a decent processor, and Windows 11 Pro (easy to upgrade to Pro, if you want to spend a small amount) and padding inside the case to keep the internal components secure when shipped. My 15-year-old got this for his birthday and it's a great improvement over his old machine - no problem at all to play his favorite games on Steam and Epic Games. I added 16Gb of extra memory for around $30 on Amazon (using same brand) but other than that it had everything we needed. You'd spend about the same money or maybe even a bit more to build this from scratch so it's a no brainer to buy it pre-assembled. Overall, I highly recommend this product.",5
Iziah,AMAZING!!,2024-08-27,"I am not a bot. I have morals and beliefs. I've crapped myself in a walmart before. Everything I'm saying is 100%. This computer is amazing for the price it's honestly unbelievable. I don't have to worry about running a single game. To clarify I can't run everything on max graphics but it's pretty close. Every game I've held over 100fps constant. Reason I'm giving it 4 stars is because the RGB lights don't turn on with the pc and you'll have to manually turn it on with the application pre installed for it. It's not a bad issue, it's just irritating. But anyways if you're thinking about getting this pc, do it. I don't regret it one bit. One thing to add it was packaged very well. No scratches or cracks on anything.",4
James Donlon,Excellent performance and so well shipped,2024-10-08,"This computer did NOT disappoint. Quality components, well built, and when I put the new rig through benchmarks it delivered! It is handling my most demanding sessions of X4 Foundations without a hitch! Also, the computer was more carefully packed and documented than any I have ever ordered. Kudos for that extra care!",5
