Username,Title,Date,Comment,rating
Dallas,Excellent quality!!,2024-10-06,I received my PlayStation 1 on time and in great condition. I had to purchase a converter for the av cables to an hdmi cable so I could get it to connect to the tv but other than that it is great!! Fully functioning with all the buttons working and smooth playing even with how old this system is.! I would highly recommend this to anyone who is trying to get back into their childhood like myself.,5
Lonnie Uptegrow,I'm speechless! Wow!!,2024-01-25,"You can look at all my reviews and see that I actually buy the products I review. NOTHING is given to me!!! With that being said let me say this...I have been looking for an Original Fat Playstation for months now. Primarily through Facebook Marketplace, and in my local area. I also looked 2hrs from my local area and it was a terrible experience. People list stuff and do not reply back until weeks later. So I did what was against my better judgement and decided to spend twice the amount through Amazon.",5
Victor Von Cravensworth,Does not work,2024-09-13,Looks beautiful and all the listed parts came with it HOWEVER it does not actually function properly and will not play any game's at all. The piece inside that is supposed to spin does not spin which results in it only being decor under the TV. I have tried numerous different ps1 game's in it and none of which will spin so considering I paid for a system that was supposedly checked and made sure to work (clearly a lie on there end) I give this disappointment 1 star,1
Amazon Customer,Amazing quality!,2020-05-18,"When it arrived the package was nicely wrapped in a lot of bubble wrap, and I mean a TON, so there was for sure peace of mind knowing it wasn't damaged during delivery. Everything in the picture was what was included and also wrapped individually. There is NOT a memory card included and the cabling is basic AV, only one controller too, however a controller and a memory card is not at all hard to grab from your local game store, or even ones on Amazon.",5
Fred D,They did a TOP GRADE Job or restoring the Original Play Station Console!!,2021-09-18,"Being an Old Jedi, there is a special place in my Heart for the Play station One and its original games!!! Mine finally died about 3 or for months ago, and I am not into all the new formats and games, plus my hands are not as young as they were. I also got a Dual Shock restored controller that Works GREAT! I love Playing Madden2003 Football, Resident Evil II, and Need for Speed Hot Pursuit!! IT REALLY made me Happy to have my old Friend back!!! The only thing I experienced in the beginning was it had trouble reading my Old Original CDs of the games. I cleaned my game CDs the best I could and within a week or so they are all working fine AGAIN!!! Yeah! I also bought the new redone Memory card for the Play station One!!! IT works GREAT!!! Plus it reads my old Memory cards as WELL!! I forgot who restored it but You Guys and Gals did one hell of a JOB!!! I would love to meet some of you! I think Amazon did it but am not sure! I highly recommend the Console, Controller, and Memory Card!!! All my Fellow Jedi's out there, get this and the FORCE will be with US again!!! LOL Happy Gaming!",5
Ross W. Kelly,In good shape,2024-07-30,"Works well, except some times I have to try two or three times to get it to read the disc. Once it starts, no problems, though.",4
Wife of Ellijiah,works great,2024-05-23,"this was not brand new, but it works. I'm happy with it.",5
M. Presley,"Was this ""renewed"" PlayStation fully tested?",2020-09-04,"First -star: I appreciate the HDMI cord that was included, but the PlayStation 1 does not have an HDMI port. There was no power cord included. Thankfully, I still had the power cord from my original PlayStation 1 that had stopped working a few years ago. Second -star: When I first turned on this renewed PlayStation, it did not seem to recognize that I had put a game disc into it. Once I turned the power off, and a little later decided to try again, it did read the disc and finally brought up the game's title screen. I almost gave up on it too soon. Third and 4th - stars: The title screen of the game came up, but it did not respond to the Start button - or any button - being pressed on the included controller. I tried switching to two other old controllers that I had on hand, even tried rebooting with my old controllers... the game would not respond to input from any of the controllers. This leads me to believe that something may be wrong with this unit's primary controller port. If it will not respond to controls, I cannot properly play any of my PlayStation 1 games, and my money spent for a replacement PlayStation 1 was wasted. If you want happy customers, please make sure that the unit -will work- and work with included controller(s) before sending. Just seeing a game title screen on TV is not sufficient if it will not interact with user controls. A PlayStation without the ""play"" is just a station.",1
KHENDERSON,Open button sticks,2023-05-02,I'm happy to have a system I can play. Unfortunately the open button sticks. I have to move it a little to close. I imagine for this price there would've been a discount. PLAYS GREAT!! I hope this thing doesn't get worse. I'm gonna be sad.,4
Sandra L. Wurth,Great condition!,2023-11-10,"My original PlayStation arrived quick and in excellent condition. I immediately hooked it up to my tv, inserted one of the game discs (Medieval) I’ve refused to let go of and voila! Works perfectly! The console and controller are like new. Very happy with my purchase!!",5
